Rejected,Timestamp,Gender,Age,Do you have experience with Credit Approval Systems or Finance?,What browser are you using?,"What time is it, NOW?",Q1 correction,What did the Credit Approval System decide for John?,Q2 correction,What is an inquiry (in this context)?,Q3 correction,"What type of inquiries can affect John's score, the hard or the soft ones?",Q4 correction,Provide an example of hard inquiry.,Q5 correction,How can an account become delinquent?,Q6 correction,Which specific process was used by the Bank to automatically decide whether to assign the loan?,Q7 correction,What are the known issues of the specific technology used by the Bank (to automatically predict John's risk performance and to suggest avenues for improvement)?,"What time is it, NOW?",What would you suggest to improve the system?,1- I think that I would like to use this explanatory system frequently.,2- I found the explanatory system unnecessarily complex.,3- I thought the explanatory system was easy to use.,4- I think that I would need the support of a technical person to be able to use this explanatory system.,5- I found the various functions in this explanatory system were well integrated.,6- I thought there was too much inconsistency in this explanatory system.,7- I would imagine that most people would learn to use this explanatory system very quickly.,8- I found the explanatory system very cumbersome to use.,9- I felt very confident using the explanatory system.,10- I needed to learn a lot of things before I could get going with this explanatory system.
No,2020/09/25 8:20:55 PM GMT+2,Male,36,No,Chrome,14:10,Yes,The loan application has been denied,No,Applying for a loan,Yes,Hard ones,Yes,Applying for a new credit card,Yes,Failing to pay the minimum payment on a loan,Yes,A machine learning algorithm,Yes,It is not always possible to know the exact logic in determining the outcome,14:19,Be more transparent,3,2,3,2,3,2,2,2,3,4
No,2020/09/25 4:37:31 PM GMT+2,Male,35,Yes,Safari,15:29,Yes,Declined,No,Months since most recent credit inquiry not within the last 7 days,No,Soft,No,Credit Reviews.,Yes,When debts are overdue.,Yes,Artificial Neural Network,Yes,Contrastive Explanations Method (CEM),15:35,Levels of understanding such forms.,3,2,2,2,4,3,4,3,3,2
No,2020/09/25 4:01:03 PM GMT+2,Male,34,No,Chrome,14:56,Yes,His loan application was denied,Yes,An inquiry is an item on a consumer's credit report that shows that someone with a permissible purpose has previously requested a copy of the consumer's report.,Yes,Hard,Yes,actively applying for a new credit card or mortgage,Yes," By being late for any payment,",No,They checked various aspects of John's banking history.,No,It doesn't take into account potential mitigating factors.,15:00,A human being reviews all results.,3,1,4,1,5,1,5,1,5,1
No,2020/09/25 4:10:21 PM GMT+2,Male,34,Yes,Chrome,15:02,Yes,Declined,Yes,A point when someone has requested a report of credit history,Yes,Hard,Yes,A mortgage inquiry,Yes,Falling behind on payments,Yes,Artificial Neural Network,Yes,Can not know its exact inner logic,15:08,unknown,4,2,4,2,4,2,4,3,4,2
No,2020/09/25 3:00:12 PM GMT+2,Male,32,No,Firefox,13:38,Yes,They've decided to Deny the application.,Yes,An inquiry is an item on a consumer's credit report that shows that someone with a permissible purpose has previously requested a copy of the consumer's report.,Yes,Hard ones.,Yes,Mortgage application.,No,Paying on time in the future.,Yes,Artificial Neural Network,Yes,Sometimes CEM is not able to find minimally sufficient changes.,13:59,Performance/Speed,4,2,4,2,4,3,2,2,3,2
No,2020/09/25 2:49:42 PM GMT+2,Male,30,Yes,Chrome,13:43,No,hard inquiry,Yes,do credit checks,Yes,hard ,No,applied for loan and pass through hard enquiry,Yes,when we miss any payment either credit card monthly payment or minimum amount of credit.,No,do hard enquiry and do credit checks,Yes,its automatic and bit complexed to understand,13:49,use credit score check agencies to get help in building credit score.,4,3,4,4,4,2,4,4,4,5
No,2020/09/25 8:26:41 PM GMT+2,Male,30,Yes,Chrome,19:19,Yes,Loan application had been denied,Yes,An inquiry is an item on a consumer's credit report that shows that someone with a permissible purpose has previously requested a copy of the consumer's report.,Yes,Hard,Yes,Applying for a new credit card or mortgage,Yes,late payments,Yes,AI-Powered Credit Approval System,Yes,"it is not always possible to exactly know its inner logic. As it is a learning algorithm the more data it has, the more accurately it can predict.",19:25,"With customer consent, back fill previous data to give the system a greater pool for identifying trends.",4,3,2,2,3,3,1,4,4,3
No,2020/09/25 8:21:06 PM GMT+2,Male,29,No,Brave,19:12,Yes,Denied,Yes,An inquiry is an item on a consumer's credit report that shows that someone with a permissible purpose has previously requested a copy of the consumer's report.,Yes,Hard,Yes,Mortgage application,Yes,Failure to pay on time,Yes,Artificial Neural Network,Yes,"ANNs are used because in practice they work very well, but not always.",19:19,No idea,4,3,4,2,4,4,3,3,4,2
No,2020/09/25 8:34:34 PM GMT+2,Male,29,No,Firefox,13:22,Yes,Bad Denied,No,the way the system approves credit,No,Average age of accounts ,No,percentage of accounts that were delinquent ,Yes,missing a payment,Yes,The Bank used  Artificial Neural Network,No,it only ask the questions it's programed to ask.,13:33,,2,3,2,4,2,4,2,3,2,4
No,2020/09/25 8:40:20 PM GMT+2,Male,27,Yes,Safari,19:37,No,He was approved,Yes,A search against your credit score,Yes,Hard,Yes,Mortgage application,Yes,Missed payments ,No,Soft approval search,No,Could miss Some debts John has ,19:39,,4,4,4,4,4,2,4,2,4,2
No,2020/09/25 4:47:47 PM GMT+2,Male,26,Yes,Chrome,10:39,Yes,Declined,No,Credit Inquiry,Yes,Hard,Yes,When a lender checks your credit to make a lending decision,Yes,If the the account holder is late making payments.,Yes,AI powered credit approval system,No,It only uses a few criteria to make an approval decision,10:46,"To check on the current situation of the person seeking the loan like current cash, employment, etc.",3,1,5,1,5,1,5,1,5,1
No,2020/09/25 8:08:53 PM GMT+2,Male,26,Yes,Chrome,19:04,Yes,denied,No,approval for a loan,No,soft,No,johns name,Yes,By not paying your bill,No,A risk assessment,No,Limited view and too few variables to base decision on ,19:07,"Use more variables, dont have such hard caps and allow consideration",4,2,4,1,4,1,4,2,5,1
No,2020/09/25 8:43:36 PM GMT+2,Male,25,No,Safari,19:31,Yes,That his loan application has been denied,Yes,When you look into your credit score,Yes,Hard,No,A request that includes a borrower's full credit report and deducts points from a borrower's credit score. ,Yes,By not paying the minimum card repayment,Yes,The AI-Powered Credit Approval System,No,It is machine learning so takes more inputs to become more accurate,19:42,,3,2,4,3,4,2,3,3,4,2
No,2020/09/25 8:27:00 PM GMT+2,Male,22,No,Chrome,14:12,Yes,loan was denied,Yes,a request for someones credit report,Yes,hard,Yes,applying for a new credit card,Yes,paying trades late,Yes,artificial neural network,Yes,it is not possible to exactly know its inner logic,14:25,this survey is not a 4 minute survery......,2,4,2,3,2,3,2,4,2,3
No,2020/09/25 2:50:23 PM GMT+2,Male,21,No,Chrome,13:30,Yes,That his loan application is denied,Yes,When a lender or creditor looks at your credit report,Yes,Hard,Yes,A lender for say a mortgage checks your your credit report and credit score from a credit bureau.,Yes,If the credit account is in arrears then it will become delinquent.,No,Making noted of consolidated risk marker and number of satisfactory trades.,No,Does not account for random changes,13:38,Not sure,5,2,4,2,4,2,4,2,4,4
No,2020/09/25 8:42:10 PM GMT+2,Male,20,No,Chrome,11:10,Yes,His risk performance is bad and thus his loan was declined.,Yes,An inquiry is when a lender makes a request for your credit report or score,Yes,Hard inquiries,Yes,Applying for a new credit card,Yes,Failure to deliver even the minimum payment on a loan or debt payment on or before the time agreed.,Yes,AI-Powered Credit Approval System,No,I couldn't find any listed.,11:41,,4,3,2,2,3,3,3,4,3,3
No,2020/09/25 8:24:44 PM GMT+2,Male,19,No,Chrome,19:17,Yes,His application was denied,Yes,It is when a lender asks for your credit score/report,No,"Average Account Age, Amount of Inquiries, Percentage of accounts that were delinquent",Yes,Applyinf for a mortgage,Yes,Failure to Make loan payment,Yes,Artificial Neural Network assisted by CEM,Yes,Its not always possible to know its inner logic,19:24,,1,4,2,3,2,3,1,4,2,3
No,2020/09/25 8:22:24 PM GMT+2,Male,18,No,Chrome,11:15,Yes,The loan was denied,Yes,An inquiry shows that someone has previously requested a copy of the consumer's report,Yes,The hard inquiries,Yes,Applying for a new credit card,Yes,Not being caught up with your payments,Yes,An artificial neural network,Yes,It is not always possible to know its inner logic,11:21,Avoid jargon in the deifinitions themselves,4,4,4,1,4,1,5,1,5,1
No,2020/09/25 9:19:34 PM GMT+2,Prefer not to say,39,No,Chrome,20:09,Yes,Loan application has been denied.,Yes,There are hard and soft inquiries affecting loan approval. Soft inquiries do not impact credit scores.,Yes,Hard ones,No,Having trouble paying bills or overspending,Yes,Pay the past due balance.,No,"Average age of accounts, percentage of accounts that were never delinquent and months since most recent credit inquiry",Yes, Artificial Neural Network,20:18,Nothing specifically.,1,5,1,5,1,3,1,5,1,5
Yes,2020/09/25 4:31:20 PM GMT+2,Male,42,Yes,Firefox,07:26,No,The Al-powered credit approval system,No,risk performance.,No,n/a,No,nothing to say. no example.,No,nothing to say,No,bank can automatically decide to assign the loan.,No,risk performance,07:30,noting. overall good,4,3,4,4,5,4,4,5,4,4
Yes,2020/09/25 4:44:47 PM GMT+2,Male,32,No,Firefox,07:38,Yes,Denied,No,not sure,No,noting,No,noting,No,not sure,No,noting,No,not,07:41,noting,4,3,4,4,3,4,3,2,3,4
Yes,2020/09/25 9:05:08 PM GMT+2,Male,22,No,Firefox,14:55,No,giving loan,No,to know anyone's real identity and paper.,No,soft ones,No,checking his paying capability.,Yes,Not paying time to time.,No,"checking finantial capabilities, resources of the person, papers.",No,Software which have checking the criteria of person's resource capacity.,15:05,updating software,3,3,4,4,3,4,4,4,4,4
